code,parent_code,name
V76.49,V76.4,Special screening for malignant neoplasms of other sites
V22.0,V22,Supervision of normal first pregnancy
V22.1,V22,Supervision of other normal pregnancy
V22.2,V22,"Pregnant state, incidental"
V02.62,V02.6,Hepatitis C carrier
804.61,804.6,"Open fractures involving skull or face with other bones, with cerebral laceration and contusion, with no loss of consciousness"
671.13,671.1,"Varicose veins of vulva and perineum complicating pregnancy and the puerperium, antepartum condition or complication"
636.10,636.1,"Illegally induced abortion, complicated by delayed or excessive hemorrhage, unspecified"
569.87,569.8,Vomiting of fecal matter
647.23,647.2,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
V10.52,V10.5,Personal history of malignant neoplasm of kidney
288.69,288.6,Other elevated white blood cell count
675.83,675.8,"Other specified infections of the breast and nipple associated with childbirth, antepartum condition or complication"
807.16,807.1,Open fracture of six ribs
209.27,209.2,"Malignant carcinoid tumor of hindgut, not otherwise specified"
812.41,812.4,Closed supracondylar fracture of humerus
093.81,093.8,Syphilitic pericarditis
599.60,599.6,"Urinary obstruction, unspecified"
755.11,755.1,Syndactyly of fingers without fusion of bone
091.69,091.6,Secondary syphilis of other viscera
941.08,941.0,Burn of unspecified degree of neck
264.3,264,Vitamin A deficiency with corneal ulceration and xerosis
264.6,264,Vitamin A deficiency with xerophthalmic scars of cornea
264.8,264,Other manifestations of vitamin A deficiency
264.4,264,Vitamin A deficiency with keratomalacia
264.0,264,Vitamin A deficiency with conjunctival xerosis
264.9,264,Unspecified vitamin A deficiency
264.5,264,Vitamin A deficiency with night blindness
264.1,264,Vitamin A deficiency with conjunctival xerosis and Bitot's spot
264.2,264,Vitamin A deficiency with corneal xerosis
264.7,264,Other ocular manifestations of vitamin A deficiency
368.10,368.1,"Subjective visual disturbance, unspecified"
E864.4,E864,Accidental poisoning by unspecified corrosives and caustics not elsewhere classified
E843,E840-E845.9,"Fall in, on, or from aircraft"
360.42,360.4,Blind hypertensive eye
722.82,722.8,"Postlaminectomy syndrome, thoracic region"
648.72,648.7,"Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with mention of postpartum complication"
E825.4,E825,Other motor vehicle nontraffic accident of other and unspecified nature injuring occupant of streetcar
E860,E860-E869.9,"Accidental poisoning by alcohol, not elsewhere classified"
711.63,711.6,"Arthropathy associated with mycoses, forearm"
648.42,648.4,"Mental disorders of mother, delivered, with mention of postpartum complication"
274.82,274.8,"Gouty tophi of other sites, except ear"
410.92,410.9,"Acute myocardial infarction of unspecified site, subsequent episode of care"
286.53,286.5,Antiphospholipid antibody with hemorrhagic disorder
525.79,525.7,Other endosseous dental implant failure
795.14,795.1,Papanicolaou smear of vagina with high grade squamous intraepithelial lesion (HGSIL)
237.70,237.7,"Neurofibromatosis, unspecified"
493.20,493.2,"Chronic obstructive asthma, unspecified"
839.79,839.7,"Open dislocation, other location"
361.14,361.1,Secondary retinal cysts
017.42,017.4,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)"
E870.8,E870,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care"
V45.75,V45.7,"Acquired absence of organ, stomach"
295.23,295.2,"Catatonic type schizophrenia, subchronic with acute exacerbation"
374.05,374.0,Trichiasis of eyelid without entropion
E873.5,E873,Inappropriate [too hot or too cold] temperature in local application and packing
814.09,814.0,Closed fracture of other bone of wrist
V58.31,V58.3,Encounter for change or removal of surgical wound dressing
440.24,440.2,Atherosclerosis of native arteries of the extremities with gangrene
E830.0,E830,"Accident to watercraft causing submersion injuring occupant of small boat, unpowered"
365.72,365.7,Moderate stage glaucoma
E828.0,E828,Accident involving animal being ridden injuring pedestrian
759.7,759,"Multiple congenital anomalies, so described"
759.4,759,Conjoined twins
759.1,759,Anomalies of adrenal gland
759.0,759,Anomalies of spleen
759.5,759,Tuberous sclerosis
759.2,759,Anomalies of other endocrine glands
759.3,759,Situs inversus
759.8,759,Other specified anomalies
759.6,759,"Other hamartoses, not elsewhere classified"
759.9,759,"Congenital anomaly, unspecified"
810.02,810.0,Closed fracture of shaft of clavicle
679.13,679.1,"Fetal complications from in utero procedure, antepartum condition or complication"
530.21,530.2,Ulcer of esophagus with bleeding
719.06,719.0,"Effusion of joint, lower leg"
369.08,369.0,Better eye: profound vision impairment; lesser eye: profound vision impairment
362.21,362.2,Retrolental fibroplasia
803.55,803.5,"Other open skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
958.99,958.9,Traumatic compartment syndrome of other sites
342.81,342.8,Other specified hemiplegia and hemiparesis affecting dominant side
715.15,715.1,"Osteoarthrosis, localized, primary, pelvic region and thigh"
746.86,746.8,Congenital heart block
V10.41,V10.4,Personal history of malignant neoplasm of cervix uteri
537.84,537.8,Dieulafoy lesion (hemorrhagic) of stomach and duodenum
864.03,864.0,"Injury to liver without mention of open wound into cavity, laceration, moderate"
525.13,525.1,Loss of teeth due to caries
011.0,011,"Tuberculosis of lung, infiltrative"
011.5,011,Tuberculous bronchiectasis
011.6,011,Tuberculous pneumonia [any form]
011.8,011,Other specified pulmonary tuberculosis
011.9,011,Unspecified pulmonary tuberculosis
011.4,011,Tuberculous fibrosis of lung
011.7,011,Tuberculous pneumothorax
011.2,011,Tuberculosis of lung with cavitation
011.1,011,"Tuberculosis of lung, nodular"
011.3,011,Tuberculosis of bronchus
800.35,800.3,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
242.21,242.2,Toxic multinodular goiter with mention of thyrotoxic crisis or storm
804.94,804.9,"Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
719.01,719.0,"Effusion of joint, shoulder region"
635.40,635.4,"Legally induced abortion, complicated by metabolic disorder, unspecified"
E917.1,E917,"Striking against or struck accidentally by a crowd, by collective fear or panic"
671.51,671.5,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition"
E001-E030.9,E000-E999.9,ACTIVITY
289.8,289,Other specified diseases of blood and blood-forming organs
289.5,289,Other diseases of spleen
289.3,289,"Lymphadenitis, unspecified, except mesenteric"
289.0,289,"Polycythemia, secondary"
289.4,289,Hypersplenism
289.6,289,Familial polycythemia
289.2,289,Nonspecific mesenteric lymphadenitis
289.9,289,Unspecified diseases of blood and blood-forming organs
289.7,289,Methemoglobinemia
289.1,289,Chronic lymphadenitis
648.91,648.9,"Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition"
649.03,649.0,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
862.3,862,Injury to other specified intrathoracic organs with open wound into cavity
862.8,862,"Injury to multiple and unspecified intrathoracic organs, without mention of open wound into cavity"
862.1,862,"Injury to diaphragm, with open wound into cavity"
862.9,862,"Injury to multiple and unspecified intrathoracic organs, with open wound into cavity"
862.2,862,Injury to other specified intrathoracic organs without mention of open wound into cavity
862.0,862,"Injury to diaphragm, without mention of open wound into cavity"
E002.5,E002,"Activities involving rowing, canoeing, kayaking, rafting and tubing"
438.85,438.8,"Other late effects of cerebrovascular disease, vertigo"
380-389.99,320-389.99,DISEASES OF THE EAR AND MASTOID PROCESS
E993,E990-E999.9,Injury due to war operations by other explosion
676.60,676.6,"Galactorrhea associated with childbirth, unspecified as to episode of care or not applicable"
V03.4,V03,Need for prophylactic vaccination and inoculation against tularemia
V03.3,V03,Need for prophylactic vaccination and inoculation against plague
V03.2,V03,Need for prophylactic vaccination and inoculation against tuberculosis [BCG]
V03.6,V03,Need for prophylactic vaccination and inoculation against pertussis alone
V03.9,V03,Need for prophylactic vaccination and inoculation against unspecified single bacterial disease
V03.7,V03,Need for prophylactic vaccination and inoculation against tetanus toxoid alone
V03.5,V03,Need for prophylactic vaccination and inoculation against diphtheria alone
V03.0,V03,Need for prophylactic vaccination and inoculation against cholera alone
V03.8,V03,Need for other specified vaccinations against single bacterial diseases
V03.1,V03,Need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [TAB]
526.63,526.6,Endodontic underfill
295.70,295.7,"Schizoaffective disorder, unspecified"
E964,E960-E969.9,Assault by submersion [drowning]
016.60,016.6,"Tuberculous oophoritis and salpingitis, unspecified"
209.65,209.6,"Benign carcinoid tumor of foregut, not otherwise specified"
951.7,951,Injury to hypoglossal nerve
951.6,951,Injury to accessory nerve
951.9,951,Injury to unspecified cranial nerve
951.2,951,Injury to trigeminal nerve
951.1,951,Injury to trochlear nerve
951.8,951,Injury to other specified cranial nerves
951.3,951,Injury to abducens nerve
951.5,951,Injury to acoustic nerve
951.0,951,Injury to oculomotor nerve
951.4,951,Injury to facial nerve
804.23,804.2,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness"
813.54,813.5,Open fracture of lower end of radius with ulna
E016,E001-E030.9,"Activities involving property and land maintenance, building and construction"
804.44,804.4,"Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
V88-V88.99,V01-V91.99,ACQUIRED ABSENCE OF OTHER ORGANS AND TISSUE
764.94,764.9,"Fetal growth retardation, unspecified, 1,000-1,249 grams"
744.43,744.4,Cervical auricle
V65.44,V65.4,Human immunodeficiency virus (HIV) counseling
366.12,366.1,Incipient senile cataract
V87.41,V87.4,Personal history of antineoplastic chemotherapy
015.02,015.0,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)"
651.11,651.1,"Triplet pregnancy, delivered, with or without mention of antepartum condition"
032.85,032.8,Cutaneous diphtheria
164.2,164,Malignant neoplasm of anterior mediastinum
164.9,164,"Malignant neoplasm of mediastinum, part unspecified"
164.8,164,Malignant neoplasm of other parts of mediastinum
164.1,164,Malignant neoplasm of heart
164.0,164,Malignant neoplasm of thymus
164.3,164,Malignant neoplasm of posterior mediastinum
383.20,383.2,"Petrositis, unspecified"
E844.6,E844,"Other specified air transport accidents injuring occupant of unpowered aircraft, except parachutist"
721.42,721.4,"Spondylosis with myelopathy, lumbar region"
E928.8,E928,Other accidents
372.00,372.0,"Acute conjunctivitis, unspecified"
E898.1,E898,Accident caused by other burning materials
943.06,943.0,Burn of unspecified degree of scapular region
800.39,800.3,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
789.00,789.0,"Abdominal pain, unspecified site"
795.00,795.0,Abnormal glandular Papanicolaou smear of cervix
379.55,379.5,Dissociated nystagmus
363.52,363.5,"Circumpapillary dystrophy of choroid, total"
649.73,649.7,"Cervical shortening, antepartum condition or complication"
800.03,800.0,"Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
087,080-088.99,Relapsing fever
088,080-088.99,Other arthropod-borne diseases
086,080-088.99,Trypanosomiasis
084,080-088.99,Malaria
085,080-088.99,Leishmaniasis
083,080-088.99,Other rickettsioses
081,080-088.99,Other typhus
082,080-088.99,Tick-borne rickettsioses
080,080-088.99,Louse-borne (epidemic) typhus
852.05,852.0,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
815.13,815.1,Open fracture of shaft of metacarpal bone(s)
802.39,802.3,"Open fracture of mandible, multiple sites"
760.74,760.7,Anti-infectives affecting fetus or newborn via placenta or breast milk
668.2,668,Central nervous system complications of anesthesia or other sedation in labor and delivery
668.1,668,Cardiac complications of anesthesia or other sedation in labor and delivery
668.0,668,Pulmonary complications of anesthesia or other sedation in labor and delivery
668.9,668,Unspecified complication of anesthesia or other sedation in labor and delivery
668.8,668,Other complications of anesthesia or other sedation in labor and delivery
368.46,368.4,Homonymous bilateral field defects
E841.9,E841,"Accident to powered aircraft, other and unspecified, injuring other person"
712.32,712.3,"Chondrocalcinosis, unspecified, upper arm"
E813.6,E813,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist
602.2,602,Atrophy of prostate
602.0,602,Calculus of prostate
602.3,602,Dysplasia of prostate
602.1,602,Congestion or hemorrhage of prostate
602.8,602,Other specified disorders of prostate
602.9,602,Unspecified disorder of prostate
E923.0,E923,Accident caused by fireworks
733.49,733.4,"Aseptic necrosis of bone, other"
361.13,361.1,Primary retinal cysts
525.64,525.6,Fractured dental restorative material with loss of material
E941.3,E941,Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use
371.30,371.3,"Corneal membrane change, unspecified"
E935.5,E935,Pyrazole derivatives causing adverse effects in therapeutic use
770.89,770.8,Other respiratory problems after birth
E958.6,E958,Suicide and self-inflicted injury by crashing of aircraft
V36.01,V36.0,"Other multiple birth (three or more), mates liveborn and stillborn, born in hospital, delivered without mention of cesarean section"
363.34,363.3,Peripheral scars
300.82,300.8,Undifferentiated somatoform disorder
743.56,743.5,"Other retinal changes, congenital"
666.20,666.2,"Delayed and secondary postpartum hemorrhage, unspecified as to episode of care or not applicable"
042-042.99,001-139.99,HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION
288.65,288.6,Basophilia
006.3,006,Amebic liver abscess
006.2,006,Amebic nondysenteric colitis
006.1,006,Chronic intestinal amebiasis without mention of abscess
006.5,006,Amebic brain abscess
006.0,006,Acute amebic dysentery without mention of abscess
006.6,006,Amebic skin ulceration
006.4,006,Amebic lung abscess
006.8,006,Amebic infection of other sites
006.9,006,"Amebiasis, unspecified"
797-799.99,780-799.99,ILL-DEFINED AND UNKNOWN CAUSES OF MORBIDITY AND MORTALITY
112.89,112.8,Other candidiasis of other specified sites
E001.0,E001,"Activities involving walking, marching and hiking"
643.20,643.2,"Late vomiting of pregnancy, unspecified as to episode of care or not applicable"
V54.82,V54.8,Aftercare following explantation of joint prosthesis
016.43,016.4,"Tuberculosis of epididymis, tubercle bacilli found (in sputum) by microscopy"
524.23,524.2,"Malocclusion, Angle's class III"
976.3,976,"Poisoning by emollients, demulcents, and protectants"
976.8,976,Poisoning by other agents primarily affecting skin and mucous membrane
976.6,976,"Poisoning by anti-infectives and other drugs and preparations for ear, nose, and throat"
976.0,976,Poisoning by local anti-infectives and anti-inflammatory drugs
976.4,976,"Poisoning by keratolytics, keratoplastics, other hair treatment drugs and preparations"
976.5,976,Poisoning by eye anti-infectives and other eye drugs
976.1,976,Poisoning by antipruritics
976.7,976,Poisoning by dental drugs topically applied
976.2,976,Poisoning by local astringents and local detergents
976.9,976,Poisoning by unspecified agent primarily affecting skin and mucous membrane
839.13,839.1,"Open dislocation, third cervical vertebra"
863.91,863.9,"Injury to pancreas, head, with open wound into cavity"
658.83,658.8,"Other problems associated with amniotic cavity and membranes, antepartum"
742.51,742.5,Diastematomyelia
746.00,746.0,"Congenital pulmonary valve anomaly, unspecified"
635.01,635.0,"Legally induced abortion, complicated by genital tract and pelvic infection, incomplete"
208.81,208.8,"Other leukemia of unspecified cell type, in remission"
590.1,590,Acute pyelonephritis
590.8,590,"Other pyelonephritis or pyonephrosis, not specified as acute or chronic"
590.0,590,Chronic pyelonephritis
590.2,590,Renal and perinephric abscess
590.9,590,"Infection of kidney, unspecified"
590.3,590,Pyeloureteritis cystica
388.44,388.4,Auditory recruitment
374.56,374.5,Other degenerative disorders of skin affecting eyelid
772.12,772.1,"Intraventricular hemorrhage, grade II"
371.21,371.2,Idiopathic corneal edema
772.4,772,Gastrointestinal hemorrhage of fetus or newborn
772.1,772,Intraventricular hemorrhage of fetus or newborn
772.2,772,Subarachnoid hemorrhage of fetus or newborn
772.8,772,Other specified hemorrhage of fetus or newborn
772.3,772,Umbilical hemorrhage after birth
772.0,772,Fetal blood loss
772.5,772,Adrenal hemorrhage of fetus or newborn
772.9,772,Unspecified hemorrhage of newborn
772.6,772,Cutaneous hemorrhage of fetus or newborn
202.53,202.5,"Letterer-siwe disease, intra-abdominal lymph nodes"
345.60,345.6,"Infantile spasms, without mention of intractable epilepsy"
943.31,943.3,"Full-thickness skin loss [third degree, not otherwise specified] of forearm"
535.31,535.3,"Alcoholic gastritis, with hemorrhage"
777.52,777.5,Stage II necrotizing enterocolitis in newborn
202.68,202.6,"Malignant mast cell tumors, lymph nodes of multiple sites"
784.43,784.4,Hypernasality
553.00,553.0,"Femoral hernia without mention of obstruction of gangrene, unilateral or unspecified(not specified as recurrent)"
716.96,716.9,"Arthropathy, unspecified, lower leg"
346.20,346.2,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus"
648.64,648.6,"Other cardiovascular diseases of mother, postpartum condition or complication"
255.14,255.1,Other secondary aldosteronism
200.20,200.2,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
414.02,414.0,Coronary atherosclerosis of autologous vein bypass graft
702.11,702.1,Inflamed seborrheic keratosis
802.27,802.2,"Closed fracture of mandible, alveolar border of body"
667.00,667.0,"Retained placenta without hemorrhage, unspecified as to episode of care or not applicable"
018.05,018.0,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
E855.9,E855,Accidental poisoning by unspecified drug acting on central and autonomic nervous systems
537.82,537.8,Angiodysplasia of stomach and duodenum without mention of hemorrhage
301.81,301.8,Narcissistic personality disorder
374.32,374.3,Myogenic ptosis
806.02,806.0,Closed fracture of C1-C4 level with anterior cord syndrome
593.73,593.7,Other vesicoureteral reflux with reflux nephropathy NOS
010.0,010,Primary tuberculous infection
010.1,010,Tuberculous pleurisy in primary progressive tuberculosis
010.8,010,Other primary progressive tuberculosis
010.9,010,"Primary tuberculous infection, unspecified type"
E941.0,E941,Parasympathomimetics [cholinergics] causing adverse effects in therapeutic use
E937.2,E937,Paraldehyde causing adverse effects in therapeutic use
E804.2,E804,"Fall in, on, or from railway train injuring pedestrian"
249.01,249.0,"Secondary diabetes mellitus without mention of complication, uncontrolled"
634.42,634.4,"Spontaneous abortion, complicated by metabolic disorder, complete"
E829.4,E829,Other road vehicle accidents injuring occupant of streetcar
593.71,593.7,"Vesicoureteral reflux with reflux nephropathy, unilateral"
918,910-919.99,Superficial injury of eye and adnexa
913,910-919.99,"Superficial injury of elbow, forearm, and wrist"
914,910-919.99,Superficial injury of hand(s) except finger(s) alone
917,910-919.99,Superficial injury of foot and toe(s)
912,910-919.99,Superficial injury of shoulder and upper arm
911,910-919.99,Superficial injury of trunk
916,910-919.99,"Superficial injury of hip, thigh, leg, and ankle"
910,910-919.99,"Superficial injury of face, neck, and scalp except eye"
919,910-919.99,"Superficial injury of other, multiple, and unspecified sites"
915,910-919.99,Superficial injury of finger(s)
716.45,716.4,"Transient arthropathy, pelvic region and thigh"
764.11,764.1,"""Light-for-dates"" with signs of fetal malnutrition, less than 500 grams"
295.61,295.6,"Schizophrenic disorders, residual type, subchronic"
E923.9,E923,Accident caused by unspecified explosive material
026.1,026,Streptobacillary fever
026.0,026,Spirillary fever
026.9,026,Unspecified rat-bite fever
995.90,995.9,"Systemic inflammatory response syndrome, unspecified"
E843.8,E843,"Fall in, on, or from aircraft injuring ground crew, airline employee"
674.24,674.2,"Disruption of perineal wound, postpartum condition or complication"
010.82,010.8,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
804.90,804.9,"Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, unspecified state of consciousness"
636.81,636.8,"Illegally induced abortion, with unspecified complication, incomplete"
221.1,221,Benign neoplasm of vagina
221.8,221,Benign neoplasm of other specified sites of female genital organs
221.0,221,Benign neoplasm of fallopian tube and uterine ligaments
221.2,221,Benign neoplasm of vulva
221.9,221,"Benign neoplasm of female genital organ, site unspecified"
478.20,478.2,Unspecified disease of pharynx
V84.03,V84.0,Genetic susceptibility to malignant neoplasm of prostate
952.07,952.0,C5-C7 level with anterior cord syndrome
675.24,675.2,"Nonpurulent mastitis associated with childbirth, postpartum condition or complication"
952.06,952.0,C5-C7 level with complete lesion of spinal cord
360.63,360.6,Foreign body in lens
659.61,659.6,"Elderly multigravida, delivered with or without mention of antepartum condition"
676.02,676.0,"Retracted nipple associated with childbirth, delivered, with mention of postpartum complication"
664.31,664.3,"Fourth-degree perineal laceration, delivered, with or without mention of antepartum condition"
641.21,641.2,"Premature separation of placenta, delivered, with or without mention of antepartum condition"
010.83,010.8,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
747.21,747.2,Anomalies of aortic arch
E815.0,E815,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle
948.99,948.9,"Burn [any degree] involving 90 percent or more of body surface with third degree burn, 90% or more of body surface"
647.34,647.3,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication"
674.01,674.0,"Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition"
804.29,804.2,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified"
718.30,718.3,"Recurrent dislocation of joint, site unspecified"
E968.9,E968,Assault by unspecified means
673.34,673.3,"Obstetrical pyemic and septic embolism, postpartum condition or complication"
716.08,716.0,"Kaschin-Beck disease, other specified sites"
372.81,372.8,Conjunctivochalasis
V50.41,V50.4,Prophylactic breast removal
671.22,671.2,"Superficial thrombophlebitis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication"
944.30,944.3,"Full-thickness skin loss [third degree, not otherwise specified] of hand, unspecified site"
756.73,756.7,Gastroschisis
727.01,727.0,Synovitis and tenosynovitis in diseases classified elsewhere
704.02,704.0,Telogen effluvium
756.14,756.1,Hemivertebra
523.11,523.1,"Chronic gingivitis, non-plaque induced"
284.19,284.1,Other pancytopenia
205.00,205.0,"Acute myeloid leukemia, without mention of having achieved remission"
E872.8,E872,Failure of sterile precautions during other specified procedures
378.33,378.3,Cyclotropia
626.0,626,Absence of menstruation
626.2,626,Excessive or frequent menstruation
626.6,626,Metrorrhagia
626.5,626,Ovulation bleeding
626.4,626,Irregular menstrual cycle
626.1,626,Scanty or infrequent menstruation
626.7,626,Postcoital bleeding
626.3,626,Puberty bleeding
626.8,626,Other disorders of menstruation and other abnormal bleeding from female genital tract
626.9,626,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract
788.21,788.2,Incomplete bladder emptying
350.8,350,Other specified trigeminal nerve disorders
350.1,350,Trigeminal neuralgia
350.9,350,"Trigeminal nerve disorder, unspecified"
350.2,350,Atypical face pain
201.20,201.2,"Hodgkin's sarcoma, unspecified site, extranodal and solid organ sites"
288.02,288.0,Cyclic neutropenia
730.86,730.8,"Other infections involving bone in diseases classified elsewhere, lower leg"
789.47,789.4,"Abdominal rigidity, generalized"
813.46,813.4,Torus fracture of ulna (alone)
560.81,560.8,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection)
608.81,608.8,Disorders of male genital organs in diseases classified elsewhere
V58.74,V58.7,"Aftercare following surgery of the respiratory system, NEC"
852.55,852.5,"Extradural hemorrhage following injury with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
715.34,715.3,"Osteoarthrosis, localized, not specified whether primary or secondary, hand"
944.04,944.0,"Burn of unspecified degree of two or more digits of hand, including thumb"
404.11,404.1,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
